self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
22	True	False	-0.5077438354492188	0.3057698156637798	10	0	11	11	-2.5022464990615845	2.123125672340393	10.765886027870337	6.910011296499434	0	0.14698800045357882	-0.22747695446014404	0.19301142475821756	0.3044620086010919	0.24309040191852804
23	False	True	0.7127633094787598	0.5212810600330613	10	0	12	11	-1.7894831895828247	2.123125672340393	11.273917563209451	6.910011296499434	None	None	None	None	None	None
24	True	False	0.30778300762176514	0.35102487297861273	10	0	12	12	-1.7894831895828247	2.430908679962158	11.273917563209451	7.004741676280133	0	0.17294119788109863	-0.14912359913190207	0.20257572333017984	0.2887678026703056	0.22211617544564352
25	True	True	-0.5381344556808472	0.49667482512928984	10	0	12	13	-1.7894831895828247	1.892774224281311	11.273917563209451	7.294330368671055	None	None	None	None	None	None
26	False	False	-0.5972455739974976	0.35417399808217453	10	0	13	13	-2.3867287635803223	1.892774224281311	11.630619838869052	7.294330368671055	0	0.17288889393820284	-0.1835945202754094	0.14559801725240853	0.2678550784555632	0.2121130896133371
27	False	True	1.4387004375457764	1.4038169793296618	10	0	14	13	-0.9480283260345459	1.892774224281311	13.70047878786346	7.294330368671055	None	None	None	None	None	None
28	True	False	-0.7272263765335083	0.40101301804305933	10	0	14	14	-0.9480283260345459	1.1655478477478027	13.70047878786346	7.823188571397111	0	0.3317026990307312	-0.06771630900246757	0.08325341769627162	0.27372362945687995	0.20603734764378415
29	False	True	-0.5530176162719727	0.31376353731843665	10	0	15	14	-1.5010459423065186	1.1655478477478027	14.006307271770595	7.823188571397111	None	None	None	None	None	None
30	True	False	1.5037505626678467	0.878089561672283	10	0	15	15	-1.5010459423065186	2.6692984104156494	14.006307271770595	10.084454326120976	0	0.20643250146150277	-0.10006972948710123	0.1779532273610433	0.2568684859943505	0.21391413563565984
31	True	True	-1.507861614227295	0.837185693943951	10	0	15	16	-1.5010459423065186	1.1614367961883545	14.006307271770595	12.35810097378112	None	None	None	None	None	None
32	False	False	0.3768751621246338	0.4577047308243323	10	0	16	16	-1.1241707801818848	1.1614367961883545	14.148342159597064	12.35810097378112	0	0.33476475509646064	-0.0702606737613678	0.07258979976177216	0.24212046900904727	0.2261433220816489
33	False	True	0.9120210409164429	1.2748014553742024	10	0	17	16	-0.2121497392654419	1.1614367961883545	14.980124538671376	12.35810097378112	None	None	None	None	None	None
34	True	False	-1.1718257665634155	0.8692220362876384	10	0	17	17	-0.2121497392654419	-0.010388970375061035	14.980124538671376	13.731276600963056	0	0.4855464766357901	-0.012479396427378935	-0.000611115904415355	0.2346577376011233	0.22468335768576328
35	False	True	1.042460560798645	0.8458794622208785	10	0	18	17	0.8303108215332031	-0.010388970375061035	16.066848559492	13.731276600963056	None	None	None	None	None	None
36	True	False	-1.2101072072982788	0.7528017426016191	10	0	18	18	0.8303108215332031	-1.2204961776733398	16.066848559492	15.195636054118296	0	0.3616288259689032	0.04612837897406684	-0.06780534320407444	0.22886868446682548	0.22223522758284078
37	False	True	1.5557713508605957	0.9026007952649024	10	0	19	18	2.386082172393799	-1.2204961776733398	18.487273055650604	15.195636054118296	None	None	None	None	None	None
38	True	False	-1.4414844512939453	1.1218152389806164	10	0	19	19	2.386082172393799	-2.661980628967285	18.487273055650604	17.273513477440503	0	0.20622844149511305	0.12558327223125257	-0.1401042436298571	0.2306082793499886	0.22229898400368217
39	False	True	-0.12916958332061768	0.9519987853365848	10	0	20	19	2.256912589073181	-2.661980628967285	18.503957836905826	17.273513477440503	None	None	None	None	None	None
40	True	False	0.2535839080810547	1.1124077822704805	10	0	20	20	2.256912589073181	-2.4083967208862305	18.503957836905826	17.337818275878163	0	0.22445229742217881	0.11284562945365906	-0.12041983604431153	0.2191447197580077	0.21180800353659038
41	True	True	-0.3747662305831909	1.1749664084307057	10	0	20	21	2.256912589073181	-2.7831629514694214	18.503957836905826	17.478268003463697	None	None	None	None	None	None
42	False	False	0.9300882816314697	0.7698238166142914	10	0	21	21	3.187000870704651	-2.7831629514694214	19.369022048534006	17.478268003463697	0	0.16873715062393724	0.151761946224031	-0.1325315691175915	0.21204984024302145	0.20183332969837306
43	True	True	-0.3336327075958252	0.8378381231025855	10	0	21	22	3.187000870704651	-3.1167956590652466	19.369022048534006	17.589578787041418	None	None	None	None	None	None
44	False	False	-0.5357716083526611	0.4684732443817552	10	0	22	22	2.6512292623519897	-3.1167956590652466	19.656073264850804	17.589578787041418	0	0.1781470738075095	0.12051042101599953	-0.1416725299575112	0.2045826313557833	0.1926575054780251
45	True	True	0.04862260818481445	0.07598016163194643	10	0	22	23	2.6512292623519897	-3.068173050880432	19.656073264850804	17.591942945068112	None	None	None	None	None	None
46	False	False	0.12549889087677002	0.31901036383733583	10	0	23	23	2.7767281532287598	-3.068173050880432	19.671823236462103	17.591942945068112	0	0.17473231359049535	0.12072731100994608	-0.13339882829914923	0.19548559338119822	0.18427645205167756
47	False	True	-0.24680721759796143	0.1962014588289236	10	0	24	23	2.5299209356307983	-3.068173050880432	19.73273703912055	17.591942945068112	None	None	None	None	None	None
48	True	False	1.463057041168213	1.305249141281223	10	0	24	24	2.5299209356307983	-1.6051160097122192	19.73273703912055	19.732478850779998	0	0.26031891951259956	0.10541337231794994	-0.06687983373800914	0.18778866446858497	0.18855442146265455
49	True	True	-1.2520506381988525	1.2771672973442207	10	0	24	25	2.5299209356307983	-2.8571666479110718	19.73273703912055	21.300109651394152	None	None	None	None	None	None
50	False	False	-0.007959127426147461	0.31278985626903477	10	0	25	25	2.521961808204651	-2.8571666479110718	19.732800386829936	21.300109651394152	0	0.2057419490461016	0.10087847232818603	-0.11428666591644288	0.1801776379592661	0.18696511974713687
51	True	True	0.5458494424819946	0.8703744086215721	10	0	25	26	2.521961808204651	-2.311317205429077	19.732800386829936	21.598061265252056	None	None	None	None	None	None
52	False	False	-0.40448248386383057	0.6120457600047899	10	0	26	26	2.1174793243408203	-2.311317205429077	19.89640646658259	21.598061265252056	0	0.25071050208356493	0.08144151247464694	-0.08889681559342605	0.1741968636464745	0.1814157678070464
53	False	True	-0.18340790271759033	0.791743256157659	10	0	27	26	1.93407142162323	-2.311317205429077	19.930044925361855	21.598061265252056	None	None	None	None	None	None
54	True	False	0.5403021574020386	0.4422797226012136	10	0	27	27	1.93407142162323	-1.7710150480270386	19.930044925361855	21.889987686545354	0	0.28763126527196337	0.07163227487493444	-0.06559314992692736	0.16790778481593824	0.17611598269426454
55	True	True	-0.27285146713256836	0.26581799510631754	10	0	27	28	1.93407142162323	-2.043866515159607	19.930044925361855	21.96443560966175	None	None	None	None	None	None
56	False	False	-0.6155757904052734	0.8454377040627605	10	0	28	28	1.3184956312179565	-2.043866515159607	20.308978479094932	21.96443560966175	0	0.30639817615532483	0.04708912968635559	-0.07299523268427167	0.1636508561986698	0.16987095591587337
57	False	True	-0.23240303993225098	0.4917110332226571	10	0	29	28	1.0860925912857056	-2.043866515159607	20.362989652064684	21.96443560966175	None	None	None	None	None	None
58	True	False	0.7274713516235352	0.25684706249910505	10	0	29	29	1.0860925912857056	-1.3163951635360718	20.362989652064684	22.49365017709472	0	0.3597305762503199	0.03745146866502433	-0.045392936673657645	0.15820075903540373	0.16621657460493391
59	True	True	0.21084940433502197	0.5370508648399692	10	0	29	30	1.0860925912857056	-1.1055457592010498	20.362989652064684	22.538107648403155	None	None	None	None	None	None
60	False	False	0.7716506719589233	1.1225060961054822	10	0	30	30	1.857743263244629	-1.1055457592010498	20.95843441159934	22.538107648403155	0	0.32988240214997255	0.06192477544148763	-0.03685152530670166	0.1547834753023103	0.16080746894960224
61	True	True	-0.8477053642272949	1.114901521592941	10	0	30	31	1.857743263244629	-1.9532511234283447	20.95843441159934	23.256712032942886	None	None	None	None	None	None
62	False	False	0.37533271312713623	0.072499622576359	10	0	31	31	2.233075976371765	-1.9532511234283447	21.09930905714272	23.256712032942886	0	0.26871079508625023	0.07203470891521822	-0.06300810075575305	0.1500482004249029	0.157717732720078
63	False	True	1.0381540060043335	0.7586233508918809	10	0	32	31	3.2712299823760986	-1.9532511234283447	22.177072797325565	23.256712032942886	None	None	None	None	None	None
64	True	False	-1.9366991519927979	0.8732940875989357	10	0	32	32	3.2712299823760986	-3.8899502754211426	22.177072797325565	27.00751563827251	0	0.15744226208391035	0.10222593694925308	-0.1215609461069107	0.14838739433584963	0.1635501107067217
65	False	True	1.9777239561080933	1.1661532234767407	10	0	33	32	5.248953938484192	-3.8899502754211426	26.088464843889412	27.00751563827251	None	None	None	None	None	None
66	True	False	-1.3348332643508911	1.003521358474032	10	0	33	33	5.248953938484192	-5.224783539772034	26.088464843889412	28.789295481890164	0	0.08116588071489987	0.1590592102570967	-0.15832677393248587	0.15464270395377436	0.16272441485210726
67	False	True	0.8150779008865356	0.45716257207779165	10	0	34	33	6.0640318393707275	-5.224783539772034	26.752816828403013	28.789295481890164	None	None	None	None	None	None
