self.step_no	last_rec.is_hi	last_rec.is_hi_is_random	last_rec.d_sum	last_rec.d_sqr_sum	last_rec.n	self.evaluation_start_index	n[0]	n[1]	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
22	True	False	-1.2376173734664917	0.7115573447901653	10	0	11	11	5.725000262260437	-6.382480978965759	30.04553623929668	15.841487765768065	-1	0.04136447504477729	0.5204545692964033	-0.5802255435423418	0.49603824718353146	0.33218572667326546
23	True	True	0.0943746566772461	1.120815079285535	10	24	0	1	0	0.0943746566772461	0	0.00890657582294807	None	None	None	None	None	None
24	False	False	0.6792675256729126	0.5714449307642582	10	24	1	0	0.6792675256729126	0	0.461404371433801	0	None	None	None	None	None	None
25	True	True	-0.6412593126296997	0.7077111450939952	10	24	0	1	0	-0.6412593126296997	0	0.41121350603431495	None	None	None	None	None	None
26	False	False	-0.2932713031768799	0.5614496682428012	10	24	1	1	-0.2932713031768799	-0.6412593126296997	0.0860080572670654	0.41121350603431495	None	None	None	None	None	None
27	False	True	1.5813372135162354	1.2761800741506875	10	24	2	1	1.2880659103393555	-0.6412593126296997	2.586635440118357	0.41121350603431495	None	None	None	None	None	None
28	True	False	-2.212948799133301	1.895623200426627	10	24	2	2	1.2880659103393555	-2.8542081117630005	2.586635440118357	5.308355893619833	0	0.16980420409796113	0.6440329551696777	-1.4271040558815002	0.9373042583465576	0.7858447432518005
29	True	True	2.407323956489563	1.4442227821939042	10	24	2	3	1.2880659103393555	-0.4468841552734375	2.586635440118357	11.103564525108396	None	None	None	None	None	None
30	False	False	-1.5126951932907104	1.180547399529999	10	24	3	3	-0.22462928295135498	-0.4468841552734375	4.874882187923177	11.103564525108396	0	0.4832777691087078	-0.07487642765045166	-0.14896138509114584	0.8998206070906668	1.3562814384905257
31	True	True	-0.35567355155944824	0.5406564905190976	10	24	3	4	-0.22462928295135498	-0.8025577068328857	4.874882187923177	11.230068200387308	None	None	None	None	None	None
32	False	False	1.3234764337539673	0.8459230509182163	10	24	4	4	1.0988471508026123	-0.8025577068328857	6.626472058625296	11.230068200387308	0	0.35462438614207964	0.2747117877006531	-0.20063942670822144	0.7259824259476798	0.9604271394449144
33	True	True	-2.8400391340255737	1.9402425131858223	10	24	4	5	1.0988471508026123	-3.6425968408584595	6.626472058625296	19.29589048318404	None	None	None	None	None	None
34	False	False	1.2095218896865845	3.0272052746451124	10	24	5	5	2.3083690404891968	-3.6425968408584595	8.089415260256303	19.29589048318404	0	0.15793181310395685	0.46167380809783937	-0.7285193681716919	0.5926087130155319	0.9122003106274859
35	True	True	-0.8466016054153442	2.1790049093836643	10	24	5	6	2.3083690404891968	-4.489198446273804	8.089415260256303	20.012624761475877	None	None	None	None	None	None
36	False	False	0.2945796251296997	1.3465660495375147	10	24	6	6	2.6029486656188965	-4.489198446273804	8.176192415797857	20.012624761475877	0	0.11011482085834845	0.4338247776031494	-0.7481997410456339	0.4846637593845629	0.7450684005841646
37	False	True	0.7759376764297485	2.599280003690936	10	24	7	6	3.378886342048645	-4.489198446273804	8.778271693501054	20.012624761475877	None	None	None	None	None	None
