self.step_no	last_rec.d_sum_lo	last_rec.d_sqr_sum_lo	last_rec.d_sum_hi	last_rec.d_sqr_sum_hi	last_rec.n	self.evaluation_start_index	n	s[0]	s[1]	s2[0]	s2[1]	decision	p_value	d0	d1	math.sqrt(s0)	math.sqrt(s1)
10	1.1056361198425293	0.5653228810697328	1.105616569519043	0.5653208313244704	10	0	11	8.999383926391602	8.999403476715088	8.804185005527074	8.804238523776917	0	0.49999558331007843	0.7913388729095459	0.7913408279418945	0.12304594079716197	0.1230469601208777
11	0.5744636058807373	0.24750568079360846	0.5744636058807373	0.24750568079360846	10	0	12	9.573847532272339	9.573867082595825	9.134193440008573	9.134246958258416	0	0.49999562234794703	0.7716229395432905	0.7716247168454257	0.11303202693100953	0.11303296581060328
12	0.7856647968292236	0.31715209423708757	0.7856452465057373	0.31715338906082025	10	0	13	10.359512329101562	10.359512329101562	9.751462612985279	9.751485411615477	0	0.5	0.7727930943171183	0.7727930943171183	0.10319028631112409	0.10319112319316619
13	-0.18287134170532227	0.30279890723682	-0.18285179138183594	0.30280505489713505	10	0	14	10.17664098739624	10.176660537719727	9.784904540602383	9.784920189227023	0	0.499996504635024	0.6992804453923152	0.6992819492633526	0.1200589634797858	0.12005865130043872
14	0.7352738380432129	0.5727764798543831	0.7353129386901855	0.5727992048102806	10	0	15	10.911914825439453	10.911973476409912	10.32553215751318	10.32560530703222	0	0.49998947641888003	0.7018514020102364	0.7018555913652692	0.11118273054273047	0.11118250372901262
15	-0.11235284805297852	0.42280789890082815	-0.11237239837646484	0.42279859836639844	10	0	16	10.799561977386475	10.799601078033447	10.338155319978796	10.338232862949098	0	0.4999937663091185	0.6475711186726888	0.647573725382487	0.11687487092620413	0.11687541896665463
16	0.8058686256408691	0.3012571534967492	0.8058490753173828	0.30125184741825706	10	0	17	11.605430603027344	11.60545015335083	10.9875795617711	10.98762559513898	0	0.49999688693036526	0.6574647128582001	0.657465934753418	0.1097731831012126	0.10977356885899495
17	0.45115208625793457	0.2176108354061057	0.45113277435302734	0.2176103056821148	10	0	18	12.056582689285278	12.056582927703857	11.191117766705986	11.191146375234439	0	0.49999996220114257	0.645328675999361	0.6453286900239832	0.10382567220882657	0.1038261732739715
18	0.05179762840270996	0.16796019597251188	0.05357480049133301	0.1678347452537423	10	0	19	12.108380317687988	12.11015772819519	11.193800761014131	11.194016634482125	0	0.49973231875271207	0.6123547289106581	0.612453473938836	0.10329229957121941	0.1032612719419048
19	0.5304198265075684	0.5454711279110143	0.5304200649261475	0.5454516479324525	10	0	20	12.638800144195557	12.640577793121338	11.47514595336645	11.475362079758384	0	0.49973201398467815	0.608042365626285	0.6081359260960629	0.09779985432851891	0.09777076249551626
20	0.15290987491607666	0.21489611163549682	0.15289032459259033	0.21489512189403115	10	0	21	12.791710019111633	12.793468117713928	11.4985273832133	11.498737531112411	0	0.4997421380797976	0.5852857410907746	0.5853736460208893	0.09553111700520289	0.0955056605300431
21	0.3351466655731201	0.2977313922871758	0.3351857662200928	0.2977234492038292	10	0	22	13.126856684684753	13.128653883934021	11.610850670658081	11.611087028988962	0	0.4997382221253005	0.5733743565423148	0.5734599374589466	0.09164558928104258	0.09162188295431908
22	-0.6070213317871094	0.2925977023712676	-0.6070408821105957	0.29259502528043413	10	0	23	12.519835352897644	12.521613001823425	11.979325567902677	11.979585661542572	0	0.49977903750234065	0.5197200070727955	0.5198008092966947	0.10253860547204374	0.10252184545363632
23	0.4335743188858032	0.2247870034566546	0.4336329698562622	0.2248130378550428	10	0	24	12.953409671783447	12.955245971679688	12.167312257899965	12.167623214088934	0	0.4997716130891573	0.5159745423690133	0.5160543814949368	0.09805059330456319	0.09803462704329265
24	1.1830270290374756	0.24634449352441834	1.182987928390503	0.24633698803080506	10	0	25	14.136436700820923	14.13823390007019	13.566865209333201	13.567083652806588	0	0.49978541407702004	0.5437683959801992	0.543843279282252	0.09790432698297258	0.0978882624805355
25	-0.20943379402160645	0.17586323544475135	-0.20763683319091797	0.17518699979837038	10	0	26	13.927002906799316	13.930597066879272	13.610727723411486	13.61019670730414	0	0.49959087984923833	0.513640308380127	0.5137840747833252	0.09862118598489543	0.09858548956134396
26	0.45774340629577637	0.1050431826592444	0.45772385597229004	0.10504219026091732	10	0	27	14.384746313095093	14.388320922851562	13.820256749418746	13.819707835630282	0	0.49959279608504326	0.5114904275307288	0.5116279125213623	0.09477655736620899	0.0947424129248504
27	0.6267876625061035	0.20179179632941668	0.6285452842712402	0.20243885596255495	10	0	28	15.011533975601196	15.016866207122803	14.213119523288611	14.214777010009897	0	0.4993926792950556	0.5157606954927798	0.5159581855491355	0.09129870506229172	0.09126871280717828
28	0.7596969604492188	0.09508048750387843	0.7596187591552734	0.09507550447176527	10	0	29	15.771230936050415	15.776484966278076	14.790258995004393	14.791797669270494	0	0.4994039773368181	0.5244727049555097	0.5246603488922119	0.088407935819848	0.08837820523309531
29	-0.025819778442382812	0.11888429418013402	-0.02398395538330078	0.11901437412529958	10	0	30	15.745411157608032	15.752501010894775	14.790925655963207	14.792372899386322	0	0.4992142240085419	0.5054971020797203	0.5057415797792632	0.08738995755461049	0.08734962807961145
30	-0.3290520906448364	0.12933072994071892	-0.3254779577255249	0.1297001935372606	10	0	31	15.416359066963196	15.42702305316925	14.899200934320945	14.8983088003515	0	0.4988764247867856	0.4776787956555684	0.4780342618624369	0.0888916711974648	0.0888199817425529
31	0.7002825736999512	0.16008591872764555	0.702040433883667	0.1598562657248408	10	0	32	16.116641640663147	16.129063487052917	15.389596617348772	15.391169571159068	0	0.49869486845640754	0.48485956268925823	0.48526026741150885	0.08627574191098608	0.08621042437299477
32	-0.25660276412963867	0.10571954917350013	-0.2548055648803711	0.10522449373445397	10	0	33	15.860038876533508	15.874257922172546	15.455441595907743	15.456095447053073	0	0.4985593869972589	0.4616888649761677	0.4621332101523876	0.08669005650684113	0.08661745331414322
33	0.43895435333251953	0.05448491004483458	0.4389934539794922	0.05449623814672577	10	0	34	16.298993229866028	16.31325137615204	15.648122520217314	15.648810699689918	0	0.49855458110299855	0.46099994038090564	0.4614320054198756	0.08402485295690452	0.08395458828113274
34	-0.05743145942687988	0.033978291691084905	-0.057460784912109375	0.03398240210970016	10	0	35	16.241561770439148	16.25579059123993	15.651420892749215	15.652112441492633	0	0.4985813624228301	0.4457519580336178	0.44617045276305256	0.08292992472285234	0.08286541928179865
35	0.13298797607421875	0.06218228880868537	0.13832974433898926	0.062328877173456476	10	0	36	16.374549746513367	16.39412033557892	15.669106694529532	15.671247559661523	0	0.4980594499624554	0.43681584426334924	0.4373750039509365	0.0810199594819139	0.08094230073928727
36	0.30733466148376465	0.030895081255323475	0.3091609477996826	0.030828878841873575	10	0	37	16.68188440799713	16.7032812833786	15.763561288678872	15.766828051305922	0	0.4978794593340319	0.43321914474169415	0.4338135023911794	0.07881935310842474	0.07874236122139071
